HR,handGSR,Temp,stress
77.8158,10.8894,37.1742,0
75.65,11.2511,36.4176,0
75.65,11.3796,36.0647,0
87.7021,11.4708,36.0523,0
88.8298,11.1353,37.2392,0
91.4043,12.2023,37.4341,0
87.3191,13.0757,36.6998,0
79.5217,13.8281,36.0979,0
88.0227,13.6093,36.5032,0
89.8636,12.4086,36.9973,0
86.9091,11.3304,36.2708,0
85.2727,10.3249,36.6804,0
81.6591,9.3957,36.4697,0
86.5,8.6819,37.1495,0
84.75,8.0559,36.5936,0
83.2045,7.4514,36.0477,0
86.6136,6.954,37.0728,0
86.2727,6.5405,36.2768,0
86.2955,6.1976,36.6544,0
85.1364,5.919,36.1489,0
83.6818,5.7616,36.2182,0
82.6818,5.5823,36.8645,0
88.1136,5.4075,36.9336,0
84.6136,5.2575,36.4238,0
82.3864,5.1246,37.2411,0
84.9545,5.0413,36.3823,0
84.0909,4.976,36.9352,0
86.4545,4.904,36.0605,0
80.9773,4.8717,36.3919,0
78.75,4.8417,37.1189,0
87.3182,4.795,36.8456,0
84.8409,4.7766,36.9443,0
92.6596,10.1623,36.6198,0
92.2041,21.2795,37.1864,1
120.65,22.3258,37.0875,1
120.65,25.9497,36.0738,1
109.5714,24.8271,37.2366,1
103.6596,21.1816,36.9437,1
120.65,21.4285,36.1422,1
120.65,22.8302,36.0051,1
105.1702,20.5657,37.4824,1
119.587,19.2775,37.4521,1
75.65,19.1225,37.0628,0
92.1136,21.3902,37.3584,0
101.8864,23.9451,36.7114,1
93.1333,22.3709,37.0049,1
114.617,20.9067,37.4009,1
115.9362,19.6655,36.5207,1
87.5532,18.7988,36.0112,1
115.4468,19.0224,36.366,1
120.65,19.6514,37.4839,1
92.1915,21.39,36.8944,1
99.0217,22.0826,37.0335,1
113.7391,22.1368,36.2231,1
96.4773,20.2145,37.422,1
87.3636,20.0703,36.5708,1
85.3864,19.3612,37.4133,1
90.9545,20.5926,36.5246,1
77.913,20.8332,36.4367,1
82.7872,20.1989,37.4001,1
117,20.6844,36.934,1
122.5532,21.4531,36.0169,1
104.1277,21.0734,37.406,1
121.7447,20.3939,37.2467,1
91.4043,20.4596,37.3305,1
91.0426,20.5488,36.8571,1
103.5106,20.1076,36.9102,1
89.8723,21.8592,36.0131,1
112.2553,22.2122,37.4209,1
92.3617,20.4779,37.1763,1
87.7021,20.196,36.6477,1
91.4894,20.4758,37.1163,1
94.4043,20.459,36.9826,1
100.4681,21.0843,36.4333,1
111.8723,21.2741,37.0627,1
115.5106,20.7387,36.9128,1
105.9787,21.3539,36.4791,1
93.6596,21.1526,37.0661,1
93.4468,20.0182,37.1811,1
89.8511,19.3361,36.2233,1
88.4444,20.684,36.8388,1
85.8,21.3161,36.2555,1
88.3864,21.2401,37.1949,1
90.5455,21.0882,36.2291,1
104.8409,20.0708,37.1906,1
121.8409,19.1275,36.1195,1
91.8936,18.736,37.3761,0
88.8085,19.0954,36.1582,0
